country_name,population,area_sq_km,population_density,gdp_per_capita_usd,gdp_usd
Brazil,212559409,8515770,25.431,8717,1839758040765
New Zealand,4822233,267710,18.314,42084,206928765543
Curaçao,164100,444,369.595,19573,3127908044
Faroe Islands,48865,1396,35.004,58622,2833300519
Guinea,13132792,245860,53.446,1064,13590281808
Israel,8655541,22070,399.979,43641,395098666121
Comoros,869595,1861,467.273,1393,1185728676
Kazakhstan,18776707,2724901,6.955,9731,180161741180
Lebanon,6825442,10450,667.199,7784,53367042272
Saint Lucia,183629,620,301.031,11611,2122450629
Liechtenstein,38378,160,242.1,173356,6552858738
Montenegro,622182,13810,45.7,8832,5494736901
Marshall Islands,59194,180,328.856,3788,221278000
Macedonia,2077132,25710,83.4,6093,12694823394
Malta,493559,320,1548.3,30090,14606972200
Norway,5328212,625217,17.2,75419,403336363636
Nepal,29136808,147180,203.256,1071,30641380604
Serbia,6963764,88360,91.0,7402,51409167350
Chad,16425859,1284000,13.045,709,11314951342
Tuvalu,11792,30,393.067,4059,47271463
Tanzania,59734213,947300,67.435,1122,63177068174
Ukraine,43733759,603550,75.492,3659,153781069118
Germany,83019213,357580,234.7,47554,3946356600000
Philippines,100979303,300000,367.512,3485,376795508679
Antigua and Barbuda,97928,440,222.564,17790,1727759259
Bulgaria,7000039,111000,63.9,9440,66182565600
Chile,17574003,756700,25.71,14896,282318159744
Cyprus,875899,9250,94.4,28674,24942615800
Gambia,2416664,11300,238.801,751,1763819047
Haiti,11402533,27750,413.735,754,8498981820
Hungary,9772756,93030,107.1,16166,157862996000
Indonesia,273523621,1913580,150.987,4135,1119190780752
Cambodia,16718971,181040,94.714,1643,27089389786
South Korea,51269183,100339,527.298,31761,1642383217167
Laos,7275556,236800,31.523,2534,18173839128
Mongolia,3278292,1564120,2.11,4295,13852850259
Mauritania,4649660,1030700,4.511,1677,7593752450
Oman,5106622,309500,16.5,15474,76983094928
Pakistan,220892331,796100,286.546,1284,278221906022
Rwanda,12952209,26340,525.019,801,10122472590
Saudi Arabia,34813867,2149690,16.195,23139,792966838161
South Sudan,11193729,619745,18.322,1119,11997800760
Zambia,18383956,752610,24.73,1291,23064722446
Colombia,50882884,1141748,45.861,6432,323802808108
Mexico,110991953,1964375,66.325,9863,1258286717124
Aruba,106766,180,593.144,29007,3056424581
Burkina Faso,20903278,274220,76.401,774,15745810234
Burundi,11890781,27830,463.037,261,3012334881
Bahamas,393248,13880,39.286,32933,12827000000
Belarus,9449321,207600,46.569,6663,63080457022
Dominica,71991,750,95.988,8300,596033333
Kenya,53771300,580370,94.478,1816,95503088538
Kyrgyzstan,6524191,199950,34.016,1309,8454619607
Kiribati,119446,810,147.464,1655,194647201
Liberia,5057677,111370,52.509,621,3070518100
Lithuania,2794184,65286,44.7,19116,53411968400
Myanmar,54409794,676590,83.286,1407,76085852617
Mozambique,31255435,786380,39.746,491,14934159925
Poland,37972812,312680,123.6,15222,585705873800
São Tomé and Príncipe,219161,960,228.293,1994,429016605
Swaziland,1160164,17360,67.451,3837,4405405802
Uruguay,3473727,176220,19.848,16190,56045912952
Uzbekistan,33469199,447400,78.677,1724,57921286440
Saint Vincent and the Grenadines,110947,390,284.479,7463,825385185
