country_name,confirmed_cases,recovered,total_deaths,people_vaccinated,people_fully_vaccinated,confirmed_female,confirmed_male,confirmed,hospitalized,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90_99
Afghanistan,1024,,37,,,,,1024,,,,,,,,,,,
Albania,11,,1,2413,4084,,,11,,,,,,,,,,,
Algeria,372,,8,,,,,372,,,,,,,,,,,
American Samoa,0,,0,,,,,0,,,,,,,,,,,
Andorra,8,,0,,,,,8,,,,,,,,,,,
Angola,130,,4,34637,72074,,,130,,,,,,,,,,,
Anguilla,0,,0,,,,,0,,,,,,,,,,,
Antigua and Barbuda,0,,0,,,,,0,,,,,,,,,,,
Argentina,26394,,544,133781,7713,13328,12925,26394,1168,0,0,11,26,47,121,103,106,91,39
Armenia,88,,0,,,,,88,,,,,,,,,,,
Aruba,1,,0,257,300,,,1,,,,,,,,,,,
Australia,17,12,0,135900,6908,,,17,,,,,,,,,,,
Austria,227,465,4,52913,74292,,,227,,,,,,,,,,,
Azerbaijan,73,,0,32670,4492,,,73,,,,,,,,,,,
Bahamas,0,,0,,,,,0,,,,,,,,,,,
Bahrain,967,,8,3652,6651,,,967,,,,,,,,,,,
Bangladesh,1637,,39,0,12115,,,1637,,,,,,,,,,,
Barbados,0,,0,1215,144,,,0,,,,,,,,,,,
Belarus,1026,,9,,,,,1026,,,,,,,,,,,
Belgium,764,,9,77285,114176,,,764,48,,,,,,,,,,
Belize,8,,0,,,,,8,,,,,,,,,,,
Benin,0,,0,,,,,0,,,,,,,,,,,
Bermuda,0,,0,,,,,0,,,,,,,,,,,
Bhutan,19,,0,,,,,19,,,,,,,,,,,
Bolivia,3233,,74,10254,19140,,,3233,,,,,,,,,,,
Bosnia and Herzegovina,30,,6,66239,20541,,,30,,,,,,,,,,,
Botswana,1981,,30,,,,,1981,,,,,,,,,,,
Brazil,88092,102745,2504,1027834,112390,26725,23958,88092,7091,2,5,38,148,280,549,303,236,209,50
British Virgin Islands,5,,0,,,,,5,,,,,,,,,,,
Brunei,0,,0,1044,25,,,0,,,,,,,,,,,
Bulgaria,123,,6,7866,15897,,,123,,,,,,,,,,,
Burkina Faso,3,,0,7681,,,,3,,,,,,,,,,,
Burundi,18,,0,,,,,18,,,,,,,,,,,
Cambodia,655,,11,24283,53841,,,655,,,,,,,,,,,
Cameroon,0,,0,4041,1965,,,0,,,,,,,,,,,
Canada,1,,0,177778,300598,,,1,,,,,,,,,,,
Cape Verde,79,,1,4692,70,,,79,,,,,,,,,,,
Cayman Islands,0,,0,,,,,0,,,,,,,,,,,
Central African Republic,9,,0,,,,,9,,,,,,,,,,,
Chad,0,,0,,,,,0,,,,,,,,,,,
Chile,7716,0,198,109576,106898,,,7716,,,,,,,,,,,
China,317,,24,0,,,,317,,,,,,,,,,,
Colombia,31237,24061,661,,,16323,14914,31237,,1,1,9,25,69,136,166,139,86,29
Comoros,4,,0,,,,,4,,,,,,,,,,,
Cook Islands,0,,0,,,,,0,,,,,,,,,,,
Costa Rica,2041,,20,,,,,2041,,,,,,,,,,,
Croatia,134,,13,29461,65644,,,134,,,,,,,,,,,
Cuba,1288,,0,39403,99306,,,1288,,,,,,,,,,,
Curaçao,4,,0,210,264,,,4,,,,,,,,,,,
Cyprus,60,,1,2545,5573,,,60,,,,,,,,,,,
Czech Republic,197,468,6,53883,68220,107,90,197,,0,0,0,0,0,1,0,3,2,0
Democratic Republic of the Congo,254,,3,,,,,254,,,,,,,,,,,
Denmark,316,,1,58643,17463,,,316,,,,,,,,,,,
Djibouti,1,,0,,,,,1,,,,,,,,,,,
Dominica,1,,0,,,,,1,,,,,,,,,,,
Dominican Republic,1129,,5,10781,139602,,,1129,,,,,,,,,,,
East Timor,83,,0,,,,,83,,,,,,,,,,,
Ecuador,1098,,48,37289,33464,,,1098,,,,,,,,,,,
Egypt,733,,37,,,,,733,,,,,,,,,,,
El Salvador,368,,4,,,,,368,,,,,,,,,,,
Equatorial Guinea,0,,0,0,11039,,,0,,,,,,,,,,,
Eritrea,82,,0,,,,,82,,,,,,,,,,,
Estonia,54,,0,4323,11102,28,26,54,,,,,,,,,,,
Ethiopia,214,,4,19313,,,,214,,,,,,,,,,,
Falkland Islands,0,,0,,,,,0,,,,,,,,,,,
Faroe Islands,1,,0,,,,,1,,,,,,,,,,,
Fiji,39,,0,,,,,39,,,,,,,,,,,
Finland,93,,0,,,48,45,93,,,,,,,,,,,
France,4475,376974,68,404177,337597,,,4475,297,,,,,,,,,,
French Guiana,214,,3,,,,,214,,,,,,,,,,,
French Polynesia,8,,0,,,,,8,,,,,,,,,,,
Gabon,40,,0,,,,,40,,,,,,,,,,,
Gambia,0,,0,,,,,0,,,,,,,,,,,
Georgia,794,,22,2490,3793,,,794,,,,,,,,,,,
Germany,1842,,11,512193,793896,1120,1140,1842,,0,0,0,3,2,5,,,,
Ghana,275,,1,,,,,275,,,,,,,,,,,
Gibraltar,2,,0,,,,,2,,,,,,,,,,,
Greece,784,,11,30739,75533,,,784,,,,,,,,,,,
Greenland,1,,0,433,30,,,1,,,,,,,,,,,
Grenada,0,,0,,,,,0,,,,,,,,,,,
Guam,6,,0,,,,,6,,,,,,,,,,,
Guatemala,1861,,28,10090,4257,,,1861,,,,,,,,,,,
Guernsey,0,,0,0,0,,,0,,,,,,,,,,,
Guinea,23,,0,14589,1988,,,23,,,,,,,,,,,
Guinea-Bissau,0,,0,,,,,0,,,,,,,,,,,
Guyana,283,,3,,,,,283,,,,,,,,,,,
Haiti,113,,2,,,,,113,,,,,,,,,,,
Honduras,828,,8,20492,0,,,828,,,,,,,,,,,
